image 0,image 1,image 2
2,1,1
23,46,45
93,114,89
94,146,128
129,146,128
107,136,127
90,118,110
116,121,96
83,107,95
90,102,87
81,81,83
81,97,89
74,69,70
54,62,58
55,71,55
50,59,52
44,41,52
56,40,45
41,33,46
32,29,42
30,35,41
29,27,30
31,30,34
42,34,40
38,26,34
30,42,39
30,43,31
29,51,39
36,35,31
20,37,26
27,33,29
27,34,41
25,28,29
34,39,34
26,50,40
32,18,22
21,33,23
32,42,31
34,34,29
27,26,20
28,26,26
27,20,16
24,18,17
32,36,27
22,33,30
35,20,28
34,23,22
32,19,22
18,15,25
34,20,24
24,19,23
22,19,22
19,21,28
19,21,14
15,31,21
20,22,24
20,22,19
15,23,20
14,24,15
27,26,29
15,22,19
24,24,16
20,15,12
13,10,15
11,17,15
20,20,21
21,24,30
25,24,23
19,26,24
17,14,16
21,28,17
30,21,26
18,20,13
18,22,25
28,23,25
16,13,24
29,24,25
21,21,21
13,18,17
22,15,33
24,21,24
21,18,16
28,26,24
27,24,23
21,25,22
16,21,24
23,22,19
17,27,29
27,18,19
22,13,19
22,25,17
20,16,22
36,17,22
25,26,32
19,21,21
18,22,20
19,16,17
24,21,24
18,21,20
21,28,34
20,22,20
30,21,28
22,24,23
30,25,36
16,21,19
28,22,33
26,17,20
28,19,25
20,24,25
36,24,22
31,18,34
20,19,20
36,24,26
32,27,21
28,21,23
20,25,24
22,26,32
26,35,29
35,33,27
30,37,29
31,15,29
26,30,31
19,9,19
31,20,29
20,20,22
26,28,27
27,26,19
22,22,26
22,30,25
21,35,37
17,26,24
33,22,22
35,24,25
22,31,27
31,34,32
32,37,39
32,30,26
34,39,35
26,26,37
27,38,41
27,20,29
33,28,32
31,25,35
35,29,28
26,26,33
18,29,28
33,23,30
23,29,18
33,16,20
30,34,27
21,31,29
24,30,30
33,26,47
22,37,29
35,24,30
33,35,33
19,22,18
28,31,33
30,19,22
24,42,40
29,30,25
26,23,31
24,31,21
26,25,23
24,27,23
23,29,24
37,26,20
28,32,30
28,27,29
24,27,29
18,26,30
26,28,30
28,28,25
20,27,18
25,27,27
24,26,20
38,19,26
23,31,31
28,20,19
31,35,28
26,27,33
21,34,29
38,33,34
27,18,20
27,31,29
27,29,32
19,34,24
17,33,29
33,31,29
24,27,31
27,20,33
20,16,15
28,22,17
20,28,33
34,25,39
27,33,18
20,27,22
21,25,18
25,23,21
31,30,34
