Iteration, E, landmarkAv, landmarkMax, landmarkSTD
0,17.7594,0,0,0
1,17.7511,0,0,0
2,17.7409,0,0,0
3,17.731,0,0,0
4,17.7181,0,0,0
5,17.7075,0,0,0
6,17.701,0,0,0
7,17.6907,0,0,0
8,17.6847,0,0,0
9,17.6779,0,0,0
10,17.2061,0,0,0
11,17.1973,0,0,0
12,17.1857,0,0,0
13,17.1773,0,0,0
14,17.1689,0,0,0
15,17.1578,0,0,0
16,17.1509,0,0,0
17,17.14,0,0,0
18,17.1302,0,0,0
19,17.1227,0,0,0
20,17.2657,0,0,0
21,17.2646,0,0,0
22,17.2617,0,0,0
23,17.2528,0,0,0
24,17.2471,0,0,0
25,17.2385,0,0,0
26,17.23,0,0,0
27,17.2217,0,0,0
28,17.2145,0,0,0
29,17.2083,0,0,0
30,16.7877,0,0,0
31,16.7828,0,0,0
32,16.7749,0,0,0
33,16.7681,0,0,0
34,16.7625,0,0,0
35,16.756,0,0,0
36,16.7496,0,0,0
37,16.7422,0,0,0
38,16.7339,0,0,0
39,16.7298,0,0,0
40,16.7862,0,0,0
41,16.7802,0,0,0
42,16.7723,0,0,0
43,16.766,0,0,0
44,16.7605,0,0,0
45,16.7526,0,0,0
46,16.7482,0,0,0
47,16.7414,0,0,0
48,16.736,0,0,0
49,16.7311,0,0,0
50,16.3898,0,0,0
51,16.3825,0,0,0
52,16.3775,0,0,0
53,16.3727,0,0,0
54,16.3657,0,0,0
55,16.3631,0,0,0
56,16.3563,0,0,0
57,16.3506,0,0,0
58,16.343,0,0,0
59,16.3385,0,0,0
60,15.8784,0,0,0
61,15.878,0,0,0
62,15.8707,0,0,0
63,15.8684,0,0,0
64,15.8643,0,0,0
65,15.8622,0,0,0
66,15.8571,0,0,0
67,15.8541,0,0,0
68,15.8493,0,0,0
69,15.8454,0,0,0
70,15.9602,0,0,0
71,15.9575,0,0,0
72,15.9548,0,0,0
73,15.9502,0,0,0
74,15.9476,0,0,0
75,15.943,0,0,0
76,15.9396,0,0,0
77,15.9351,0,0,0
78,15.9307,0,0,0
79,15.9233,0,0,0
80,15.5563,0,0,0
81,15.5511,0,0,0
82,15.5499,0,0,0
83,15.5478,0,0,0
84,15.5457,0,0,0
